approach,system,steps,min_total_core,max_total_core,resources,classes,sla
BNV1-2.0,system_17,9,96.0,96.0,10,12,300.0
BNV1-1.0,system_17,20,89.0,89.0,10,12,300.0
BNV1-0.5,system_17,44,89.3,89.3,10,12,300.0
BNV2-2.0,system_17,19,89.5,92.0,10,12,300.0
BNV2-4.0,system_17,13,91.7,102.0,10,12,300.0
BNV2-1.0,system_17,28,87.9,89.0,10,12,300.0
AMPL,system_17,0,82.09,0,10,12,300.0
BNV1-4.0,system_18,6,138.0,138.0,10,12,300.0
BNV1-2.0,system_18,9,96.0,96.0,10,12,300.0
BNV1-1.0,system_18,20,89.0,89.0,10,12,300.0
BNV1-0.5,system_18,44,89.3,89.3,10,12,300.0
BNV2-2.0,system_18,19,89.5,92.0,10,12,300.0
BNV2-4.0,system_18,13,91.7,102.0,10,12,300.0
BNV2-1.0,system_18,28,87.9,89.0,10,12,300.0
AMPL,system_18,0,82.09,0,10,12,300.0
BNV1-4.0,system_19,6,138.0,138.0,10,12,300.0
BNV1-2.0,system_19,9,96.0,96.0,10,12,300.0
BNV1-1.0,system_19,20,89.0,89.0,10,12,300.0
BNV1-0.5,system_19,44,89.3,89.3,10,12,300.0
BNV2-2.0,system_19,19,89.5,92.0,10,12,300.0
BNV2-4.0,system_19,13,91.7,102.0,10,12,300.0
BNV2-1.0,system_19,28,87.9,89.0,10,12,300.0
AMPL,system_19,0,82.09,0,10,12,300.0
BNV1-4.0,system_20,10,142.0,142.0,10,12,300.0
BNV1-2.0,system_20,18,128.0,128.0,10,12,300.0
BNV1-1.0,system_20,37,128.0,128.0,10,12,300.0
BNV1-0.5,system_20,76,127.8,127.8,10,12,300.0
BNV2-2.0,system_20,25,121.7,128.0,10,12,300.0
BNV2-4.0,system_20,16,126.8,138.0,10,12,300.0
BNV2-1.0,system_20,48,123.3,128.0,10,12,300.0
AMPL,system_20,0,109.93,0,10,12,300.0
BNV1-4.0,system_21,10,142.0,142.0,10,12,300.0
BNV1-2.0,system_21,18,128.0,128.0,10,12,300.0
BNV1-1.0,system_21,37,128.0,128.0,10,12,300.0
BNV1-0.5,system_21,76,127.8,127.8,10,12,300.0
BNV2-2.0,system_21,25,121.7,128.0,10,12,300.0
BNV2-4.0,system_21,16,126.8,138.0,10,12,300.0
BNV2-1.0,system_21,48,123.3,128.0,10,12,300.0
AMPL,system_21,0,109.93,0,10,12,300.0
BNV1-4.0,system_22,4,114.0,114.0,10,12,300.0
